epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.21823,1.27514,2.52461,1.75255,0.1884,0.17713,0.17926,0.0762,1.8781,2.74671,2.50699,0.000550324,0.000550324,0.000550324
1,14.0158,1.26692,2.56546,1.74619,0.66936,0.15471,0.13368,0.06223,1.62025,2.87523,2.20698,0.000550324,0.000550324,0.000550324
1,13.4496,1.29529,2.51497,1.76292,0.39832,0.20044,0.21514,0.08861,1.73759,2.77272,2.51371,0.000550324,0.000550324,0.000550324
1,14.0471,1.2751,2.57234,1.75289,0.68805,0.213,0.14986,0.06389,1.75993,2.7677,2.484,0.000550324,0.000550324,0.000550324
