avg_loss,avg_map50,bits_down_total_round,bits_up_total_round,buffered_updates,clients_per_round,current_round,round_time,timestamp,total_rounds,training_done,waiting_for
,,,,0,3,0,0.0,1763358036.7142305,5,False,3
0.0,0.044619959310496525,96694240.0,290082720.0,0,3,1,18.371629,1763358128.864015,5,False,3
0.0,0.04620890932430269,96694240.0,290082720.0,0,3,2,5.555012,1763358170.5805404,5,False,3
0.0,0.06696975335856153,96694240.0,290082720.0,0,3,3,11.516503,1763358217.837995,5,False,3
0.0,0.0661157336987233,96694240.0,290082720.0,0,3,4,18.277051,1763358287.883508,5,False,3
0.0,0.06609154145832663,96694240.0,290082720.0,0,3,5,12.347802,1763358335.7382782,5,True,3
