epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.94782,1.27562,2.48343,1.73682,0.82455,0.1704,0.22576,0.09877,1.75481,2.81249,2.46168,0.000550324,0.000550324,0.000550324
1,13.8248,1.2763,2.51679,1.74095,0.77415,0.15919,0.19895,0.09293,1.79343,2.75339,2.47312,0.000550324,0.000550324,0.000550324
1,13.0895,1.30382,2.47205,1.75267,0.772,0.19058,0.20389,0.06782,2.10486,2.72353,2.5581,0.000550324,0.000550324,0.000550324
1,14.2658,1.26769,2.54819,1.73134,0.81666,0.17937,0.2103,0.08982,1.86749,2.7328,2.5338,0.000550324,0.000550324,0.000550324
