round,bits_down_total_round,bits_up_total_round,loss,map,map50,precision,recall
0,96694240.0,290082720.0,0.0,0.009721432334341348,0.044619959310496525,0.5105852941864136,0.33856502242152464
1,96694240.0,290082720.0,0.0,0.011246539757122429,0.04620890932430269,0.5410980715314333,0.23168908819133036
2,96694240.0,290082720.0,0.0,0.014425860039019064,0.06696975335856153,0.5652937144223048,0.16292974588938713
3,96694240.0,290082720.0,0.0,0.016829664911660113,0.0661157336987233,0.5684831176760596,0.17862481315396114
4,96694240.0,290082720.0,0.0,0.018583862849311055,0.06609154145832663,0.5766951403328694,0.14872944693572496
