epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1558,1.14202,2.05817,1.63478,0.57968,0.25771,0.28805,0.1393,1.67335,2.46432,2.43315,0.000550324,0.000550324,0.000550324
1,6.3484,1.1509,2.06104,1.64131,0.30157,0.26163,0.24707,0.10974,1.80243,2.81821,2.58732,0.000550324,0.000550324,0.000550324
1,12.9888,1.12339,2.03258,1.61677,0.31482,0.25539,0.28721,0.1316,1.67176,2.42666,2.31872,0.000550324,0.000550324,0.000550324
